20241231, afternoon
Provider,Num,Log_File,Mean_Duration_ms,CI_Lower_ms,CI_Upper_ms,Num_Runs
GCP,1000000,log-num-1000000-2024-12-31_15-24-01.log,583.0320247933885,567.094300519751,598.969749067026,968
GCP,1050000,log-num-1050000-2024-12-31_15-48-46.log,591.9948875255624,581.5516730138354,602.4381020372894,978
GCP,1102500,log-num-1102500-2024-12-31_16-13-48.log,624.8927038626609,611.0856071286811,638.6998005966408,932
GCP,1157625,log-num-1157625-2024-12-31_16-38-01.log,758.7960251046026,744.5890482726268,773.0030019365784,956

20241231, evening
Provider,Num,Log_File,Mean_Duration_ms,CI_Lower_ms,CI_Upper_ms,Num_Runs
GCP,1000000,log-num-1000000-2024-12-31_17-30-51.log,636.40703125,625.3872782629778,647.4267842370223,1280
GCP,1050000,log-num-1050000-2024-12-31_18-02-23.log,592.7760617760617,582.5361851435215,603.015938408602,1295
GCP,1102500,log-num-1102500-2024-12-31_18-33-48.log,645.3491214667686,628.2876799474275,662.4105629861097,1309
GCP,1157625,log-num-1157625-2024-12-31_19-05-23.log,747.8137621540762,735.5053674255853,760.1221568825672,1337

20250101, afternoon
Provider,Num,Log_File,Mean_Duration_ms,CI_Lower_ms,CI_Upper_ms,Num_Runs
GCP,1000000,log-num-1000000-2025-01-01_15-08-13.log,540.1914305459571,530.7395449373983,549.643316154516,1447
GCP,1050000,log-num-1050000-2025-01-01_15-43-12.log,508.05546875,498.9007132521476,517.2102242478524,1280
GCP,1102500,log-num-1102500-2025-01-01_16-15-02.log,611.8625954198474,601.8466623610349,621.8785284786599,1310
GCP,1157625,log-num-1157625-2025-01-01_16-47-19.log,764.2314176245211,750.9174621431264,777.5453731059158,1305

20250101, evening
Provider,Num,Log_File,Mean_Duration_ms,CI_Lower_ms,CI_Upper_ms,Num_Runs
GCP,1000000,log-num-1000000-2025-01-01_17-24-52.log,651.9580052493438,639.7202875829154,664.1957229157723,1905
GCP,1050000,log-num-1050000-2025-01-01_18-12-43.log,564.1865591397849,551.7281705987217,576.6449476808481,1860
GCP,1102500,log-num-1102500-2025-01-01_18-59-20.log,659.3973544973545,651.3728401820113,667.4218688126978,1890
GCP,1157625,log-num-1157625-2025-01-01_19-48-06.log,656.8040147913365,644.3135340217979,669.2944955608751,1893

20250102, afternoon
Provider,Num,Log_File,Mean_Duration_ms,CI_Lower_ms,CI_Upper_ms,Num_Runs
GCP,1000000,log-num-1000000-2025-01-02_14-09-29.log,683.1427609427609,672.2326036491638,694.052918236358,1485
GCP,1050000,log-num-1050000-2025-01-02_14-47-45.log,574.475234270415,566.216189135229,582.7342794056009,1494
GCP,1102500,log-num-1102500-2025-01-02_15-26-02.log,587.1900882552613,579.5934005110457,594.786775999477,1473
GCP,1157625,log-num-1157625-2025-01-02_16-04-20.log,663.9403485254692,653.2367240571423,674.6439729937961,1492

20250102, evening
Provider,Num,Log_File,Mean_Duration_ms,CI_Lower_ms,CI_Upper_ms,Num_Runs
GCP,1000000,log-num-1000000-2025-01-02_18-26-45.log,585.3206030150753,575.3361033160528,595.3051027140979,1990
GCP,1050000,log-num-1050000-2025-01-02_19-17-26.log,633.7363360323886,624.3676856056659,643.1049864591114,1976
GCP,1102500,log-num-1102500-2025-01-02_20-08-08.log,574.2117410938284,567.3347237841405,581.0887584035164,1993
GCP,1157625,log-num-1157625-2025-01-02_20-58-50.log,701.4292878635907,692.2417522718266,710.6168234553548,1994

20250102, morning
Provider,Num,Log_File,Mean_Duration_ms,CI_Lower_ms,CI_Upper_ms,Num_Runs
GCP,1000000,log-num-1000000-2025-01-02_12-23-11.log,684.1325301204819,672.5840859180571,695.6809743229066,996
GCP,1050000,log-num-1050000-2025-01-02_12-49-03.log,635.8341708542714,618.1287712611896,653.5395704473532,995
GCP,1102500,log-num-1102500-2025-01-02_13-14-56.log,702.5656970912738,692.391798571547,712.7395956110006,997
GCP,1157625,log-num-1157625-2025-01-02_13-40-48.log,762.0552763819095,748.5465502970682,775.5640024667508,995

